xp,yp,zp,xv,yv,zv,xd,yd,zd,spd,t
-4000,0,8000,150,-150,-50,1,0,0,217.94494717703367,0
-3992.5,-7.5,7997.5,150,-150,-50,1,0,0,217.94494717703367,0.05
-3985,-15,7995,150,-150,-50,1,0,0,217.94494717703367,0.1
-3977.5,-22.5,7992.5,150,-150,-50,1,0,0,217.94494717703367,0.15000000000000002
-3970,-30,7990,150,-150,-50,1,0,0,217.94494717703367,0.2
-3962.5,-37.5,7987.5,150,-150,-50,1,0,0,217.94494717703367,0.25
-3955,-45,7985,150,-150,-50,1,0,0,217.94494717703367,0.30000000000000004
-3947.5,-52.5,7982.5,150,-150,-50,1,0,0,217.94494717703367,0.35000000000000003
-3940,-60,7980,150,-150,-50,1,0,0,217.94494717703367,0.4
-3932.5,-67.5,7977.5,150,-150,-50,1,0,0,217.94494717703367,0.45
-3925,-75,7975,150,-150,-50,1,0,0,217.94494717703367,0.5
-3917.5,-82.5,7972.5,150,-150,-50,1,0,0,217.94494717703367,0.55
-3910,-90,7970,150,-150,-50,1,0,0,217.94494717703367,0.6000000000000001
-3902.5,-97.5,7967.5,150,-150,-50,1,0,0,217.94494717703367,0.65
-3895,-105,7965,150,-150,-50,1,0,0,217.94494717703367,0.7000000000000001
-3887.5,-112.5,7962.5,150,-150,-50,1,0,0,217.94494717703367,0.75
-3880,-120,7960,150,-150,-50,1,0,0,217.94494717703367,0.8
-3872.5,-127.5,7957.5,150,-150,-50,1,0,0,217.94494717703367,0.8500000000000001
-3865,-135,7955,150,-150,-50,1,0,0,217.94494717703367,0.9
-3857.5,-142.5,7952.5,150,-150,-50,1,0,0,217.94494717703367,0.9500000000000001
-3850,-150,7950,150,-150,-50,1,0,0,217.94494717703367,1
-3842.5,-157.5,7947.5,150,-150,-50,1,0,0,217.94494717703367,1.05
-3835,-165,7945,150,-150,-50,1,0,0,217.94494717703367,1.1
-3827.5,-172.5,7942.5,150,-150,-50,1,0,0,217.94494717703367,1.1500000000000001
-3820,-180,7940,150,-150,-50,1,0,0,217.94494717703367,1.2000000000000002
-3812.5,-187.5,7937.5,150,-150,-50,1,0,0,217.94494717703367,1.25
-3805,-195,7935,150,-150,-50,1,0,0,217.94494717703367,1.3
-3797.5,-202.5,7932.5,150,-150,-50,1,0,0,217.94494717703367,1.35
-3790,-210,7930,150,-150,-50,1,0,0,217.94494717703367,1.4000000000000001
-3782.5,-217.5,7927.5,150,-150,-50,1,0,0,217.94494717703367,1.4500000000000002
-3775,-225,7925,150,-150,-50,1,0,0,217.94494717703367,1.5
